Date,Revenue,UNRATE,PPI
1/1/2017,11141.566,4.7,91.6
2/1/2017,11483.52,4.6,95.4
3/1/2017,89026.192,4.4,97.8
4/1/2017,7486.732,4.5,94.1
5/1/2017,17719.978,4.4,95.1
6/1/2017,159129.659,4.3,92.6
7/1/2017,16736.302,4.3,93.6
8/1/2017,25432.066,4.4,91.6
9/1/2017,145620.785,4.2,91.2
10/1/2017,24954.743,4.1,91.3
11/1/2017,42440.281,4.2,90.9
12/1/2017,389795.301,4.1,89.7
1/1/2018,10851.367,4,88.5
2/1/2018,15156.59,4.1,92.4
3/1/2018,92459.405,4,93.6
4/1/2018,18964.489,4,94.4
5/1/2018,27080.474,3.8,93.9
6/1/2018,156189.554,4,93.9
7/1/2018,22733.732,3.8,93.1
8/1/2018,19094.521,3.8,93.1
9/1/2018,119631.548,3.7,94.1
10/1/2018,21636.455,3.8,96.8
11/1/2018,64590.779,3.8,92.2
12/1/2018,303152.06,3.9,92.9
1/1/2019,12594.348,4,93.4
2/1/2019,24780.076,3.8,98.2
3/1/2019,116184.047,3.8,99.6
4/1/2019,33054.437,3.7,96.6
5/1/2019,48772.3,3.7,97.2
6/1/2019,285241.258,3.6,96.2
7/1/2019,27898.503,3.6,95.2
8/1/2019,51342.508,3.7,95.4
9/1/2019,244466.379,3.5,94
10/1/2019,34864.443,3.6,95.7
11/1/2019,73088.785,3.6,92.7
12/1/2019,724700.889,3.6,93.3
1/1/2020,16301.221,3.5,93.6
2/1/2020,19678.761,3.5,94.3
3/1/2020,119442.079,4.4,97.3
4/1/2020,18721.319,14.8,99.1
5/1/2020,30280.716,13.3,101.6
6/1/2020,226958.057,11.1,101.3
7/1/2020,25759.943,10.2,100
8/1/2020,35032.793,8.4,99.1
9/1/2020,147118.567,7.8,99.5
10/1/2020,43706.168,6.9,98.8
11/1/2020,54935.815,6.7,97
12/1/2020,519428.806,6.7,97.6
1/1/2021,16501.026,6.3,97.1
2/1/2021,55269.823,6.2,97.3
3/1/2021,132237.61,6,96.7
4/1/2021,20767.113,6.1,101
5/1/2021,45859.339,5.8,95.8
6/1/2021,183014.713,5.9,96.1
